esperado (gabarito),previsto (rede)
0,0
1,1
2,14
3,3
4,4
5,5
6,6
7,7
8,9
9,9
10,2
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,17
1,17
2,2
3,14
4,17
5,5
6,6
7,7
8,9
9,9
10,10
11,0
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,19
24,24
25,25
0,0
1,1
2,2
3,3
4,11
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,8
20,20
21,21
22,22
23,23
24,24
25,25
0,0
1,1
2,2
3,17
4,4
5,5
6,6
7,7
8,19
9,9
10,10
11,11
12,12
13,18
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,12
22,15
23,23
24,24
25,25
0,22
1,1
2,25
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,0
11,18
12,12
13,13
14,6
15,15
16,16
17,17
18,18
19,19
20,11
21,21
22,12
23,23
24,24
25,25
